LastStatisticsDate,StatisticsDate,DailyCases,TotalCases,TotalCasesLast14D,PerPopulation
2021-10-02,2021-09-17,391,149314,5873,441.92
2021-10-02,2021-09-18,462,149776,6080,457.5
2021-10-02,2021-09-19,366,150142,6234,469.08
2021-10-02,2021-09-20,463,150605,6306,474.5
2021-10-02,2021-09-21,687,151292,6505,489.47
2021-10-02,2021-09-22,589,151881,6627,498.65
2021-10-02,2021-09-23,546,152427,6633,499.11
2021-10-02,2021-09-24,644,153071,6784,510.47
2021-10-02,2021-09-25,464,153535,6919,520.63
2021-10-02,2021-09-26,390,153925,7041,529.81
2021-10-02,2021-09-27,794,154719,7363,554.04
2021-10-02,2021-09-28,745,155464,7583,570.59
2021-10-02,2021-09-29,791,156255,7864,591.73
2021-10-02,2021-09-30,731,156986,8063,606.71
2021-10-02,2021-10-01,742,157728,8414,633.12
2021-10-02,2021-10-02,629,158357,8581,645.69
